#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-11T18:58:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9803da1060
#INFO	-out.max=unlimited
#INFO	queryParameters=22
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/cb&tab:{B/cb/cbdata}&key:source=B/cb/cbdata&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/cb/cbdata
#-order=I
#-out=Name
#-out=AltName
#-out=RAJ2000
#-out=DEJ2000
#-out=Type1
#-out=Type2
#-out=mag1
#-out=Orb.Per
#-out=SpType2
#-out=SpType1
#-out=Refs
#Refs=Refs
#Simbad=Simbad
#

#RESOURCE=yCat_102018
#Name: B/cb
#Title: Cataclysmic Binaries, LMXBs, and related objects (Ritter+, 2004)
#Table	B_cb_cbdata:
#Name: B/cb/cbdata
#Title: Catalogue of Cataclysmic Binaries
#Column	Name	(a12)	Object name (G1)	[ucd=meta.id,meta.main]
#Column	AltName	(a12)	A frequently used alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec,meta.main]
#Column	Type1	(A2)	Object type (3)	[ucd=src.class]
#Column	Type2	(A2)	Object type (3)	[ucd=src.class]
#Column	mag1	(F4.1)	? Apparent V (or B, b, F, g, I, J, j, K, p, R, r, v, w = "white light") magnitude at maximum brightness (4)	[ucd=phot.mag,em.opt.V]
#Column	Orb.Per	(F9.6)	? Orbital period (in days)	[ucd=time.period]
#Column	SpType2	(A7)	Spectral type of the secondary (G6)	[ucd=src.spType]
#Column	SpType1	(a7)	Spectral type of the primary (G6)	[ucd=src.spType]
#Column	Refs	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
# , ,"h:m:s","d:m:s", , ,mag,d, , ,
Name,AltName,RAJ2000,DEJ2000,Type1,Type2,mag1,Orb_Per,SpType2,SpType1,Refs
V723 Cas    ,N Cas 1995  ,01 05 05.4,+54 00 41,Nb,  ,18.8, 0.693266,       ,       ,Refs
V368 Aql    ,N Aql 1936#2,19 26 34.4,+07 36 14,Na,  ,16.2, 0.690509,       ,       ,Refs
QR And      ,J0019+2156  ,00 19 49.8,+21 56 53,SS,IP,12.2, 0.660465,       ,       ,Refs
V445 Pup    ,N Pup 2000  ,07 37 56.9,-25 56 59,N ,  ,14.6, 0.650650,       ,       ,Refs
V2731 Oph   ,            ,17 30 21.9,-05 59 32,NL,IP,16.3, 0.642500,G0-4/5 ,       ,Refs
V478 Her    ,            ,17 21 05.6,+23 39 40,DN,  ,17.5, 0.629049,K3-7/5 ,       ,Refs
CI Aql      ,            ,18 52 03.6,-01 28 39,Nr,  ,17.0, 0.618360,F8/4   ,       ,Refs
BV Cen      ,            ,13 31 19.6,-54 58 34,DN,UG,12.6, 0.611179,G8/5   ,       ,Refs
J1930+0530  ,            ,19 30 50.8,+05 30 58,CV,  ,11.0, 0.610920,F4-6/5 ,       ,Refs
V841 Oph    ,N Oph 1848  ,16 59 30.3,-12 53 27,Nb,  ,13.2, 0.601304,K1-5   ,       ,Refs
V479 And    ,            ,00 18 56.9,+34 54 44,NL,AM,17.5, 0.594093,G8-K0/4,       ,Refs
DI Lac      ,N Lac 1910  ,22 35 48.6,+52 43 00,Na,  ,14.2, 0.543773,       ,       ,Refs
V Sge       ,            ,20 20 14.8,+21 06 09,SS,  , 9.5, 0.514197,       ,WN5   :,Refs
V2690 Cyg   ,            ,19 51 47.5,+37 16 48,NL,  ,15.5, 0.492000,M0/5   ,       ,Refs
UY Pup      ,            ,07 46 31.2,-12 57 09,DN,UG,15.3, 0.479269,K2-6/5 ,       ,Refs
NGC 6397-CV1,            ,17 40 41.6,-53 40 19,  ,  ,17.5, 0.471199,       ,       ,Refs
V442 Cen    ,            ,11 24 51.9,-35 54 38,DN,UG,16.5, 0.460000,G4-8/5 ,       ,Refs
EY Cyg      ,            ,19 54 36.8,+32 21 55,DN,UG,14.5, 0.459324,K0/5   ,       ,Refs
QU Car      ,            ,11 05 42.8,-68 37 58,NL,  ,11.1, 0.450000,       ,       ,Refs
CAL 87      ,LHG 87      ,05 46 48.3,-71 09 24,SS,  ,18.9, 0.442678,       ,       ,Refs
DX And      ,            ,23 29 46.7,+43 45 04,DN,UG,14.0, 0.440502,K0/5   ,       ,Refs
J1755-2816  ,            ,17 55 53.3,-28 16 34,CV,  ,15.0, 0.431035,       ,       ,Refs
J1051-6127  ,            ,10 51 36.7,-51 27 39,DN,UG,21.0, 0.426916,       ,       ,Refs
V537 Peg    ,            ,22 43 40.7,+30 55 20,DN,  ,16.5, 0.422340,       ,       ,Refs
KO Vel      ,            ,10 15 58.4,-47 58 11,NL,IP,16.7, 0.422000,       ,       ,Refs
Q Cyg       ,N Cyg 1876  ,21 41 43.9,+42 50 29,Na,  ,14.3, 0.420360,K4-6   ,       ,Refs
0928+5004   ,            ,09 32 14.9,+49 50 54,NL,UX,14.3, 0.418380,       ,       ,Refs
WX Cen      ,            ,13 12 52.5,-63 23 45,NL,SS,13.4, 0.416959,       ,WN3    ,Refs
V1062 Tau   ,            ,05 02 27.5,+24 45 23,NL,IP,15.1, 0.415926,K3-7/5 ,       ,Refs
AE Aqr      ,            ,20 40 09.0,-00 52 16,NL,DQ,10.7, 0.411656,K3/4   ,       ,Refs
NY Lup      ,J1548-4528  ,15 48 14.6,-45 28 40,NL,IP,14.5, 0.411000,K0-4/5 ,       ,Refs
J0043+4113  ,            ,00 43 20.0,+41 13 46,N ,IP,21.0, 0.409500,       ,       ,Refs
J1756-2748  ,            ,17 56 07.3,-27 48 48,DN,  ,18.0, 0.397460,       ,       ,Refs
J0527-6954  ,            ,05 27 48.9,-69 54 09,SS,  ,17.9, 0.392600,B5e/5  ,       ,Refs
J0746-1611  ,            ,07 46 17.1,-16 11 28,NL,  ,14.5, 0.391010,K2-6/5 ,       ,Refs
SY Cnc      ,PG 0858+181 ,09 01 03.4,+17 53 56,DN,ZC,13.5, 0.382375,G6-K0/5,       ,Refs
J0629-0335  ,            ,06 29 54.6,-03 35 21,DN,  ,    , 0.380000,       ,       ,Refs
IU Leo      ,            ,10 57 56.3,+09 23 14,DN,UG,15.7, 0.376308,K3-7/5 ,       ,Refs
AT Ara      ,            ,17 30 33.8,-46 05 59,DN,UG,15.3, 0.375500,K2/5   ,       ,Refs
RU Peg      ,            ,22 14 02.6,+12 42 11,DN,UG,12.5, 0.374600,K5/5   ,       ,Refs
J0647+4950  ,            ,06 47 29.3,+49 50 27,DN,  ,17.5, 0.371500,       ,       ,Refs
V1375 Cen   ,            ,11 51 13.0,-62 37 29,N?,SS,15.5, 0.360400,       ,       ,Refs
RZ Gru      ,            ,22 47 12.0,-42 44 39,NL,UX,12.3, 0.360000,       ,       ,Refs
J1749-2943  ,            ,17 49 54.6,-29 43 35,NL,QN,19.5, 0.358700,       ,       ,Refs
QZ Aur      ,N Aur 1964  ,05 28 34.0,+33 18 23,Na,  ,17.0, 0.357496,G8-K2/5,       ,Refs
J0939-3226  ,            ,09 39 49.7,-32 26 22,NL,IP,15.7, 0.355000,       ,       ,Refs
J2256-2743  ,            ,22 56 47.8,-27 43 25,DN,  ,16.2, 0.350100,       ,       ,Refs
GY Hya      ,            ,14 30 30.5,-25 52 38,DN,UG,15.1, 0.347237,K4-5/5 ,       ,Refs
V2677 Oph   ,N Oph 2012#2,17 39 57.0,-24 47 07,N ,  ,19.8, 0.344300,       ,       ,Refs
CH UMa      ,PG 1003+678 ,10 07 00.6,+67 32 47,DN,UG,14.5, 0.343184,K5-9/5 ,       ,Refs
MU Cen      ,            ,12 12 53.9,-44 28 16,DN,UG,14.9, 0.342000,K3-5/5 ,       ,Refs
V902 Mon    ,            ,06 27 46.4,+01 48 11,NL,IP,16.0, 0.340083,       ,       ,Refs
BT Mon      ,N Mon 1939  ,06 43 47.2,-02 01 15,Na,SW,15.4, 0.333814,G8/5   ,       ,Refs
V1309 Ori   ,J0515+0104  ,05 15 41.4,+01 04 40,NL,AM,15.5, 0.332612,K6-8/4 ,       ,Refs
J0838-4831  ,            ,08 38 49.1,-48 31 25,NL,IP,16.6, 0.330000,       ,       ,Refs
J0632+2536  ,            ,06 32 13.1,+25 36 23,DN,  ,17.9, 0.326000,       ,       ,Refs
V392 Hya    ,            ,10 58 56.4,-29 14 41,DN,UG,16.3, 0.324952,K4-6/5 ,       ,Refs
AF Cam      ,            ,03 32 15.6,+58 47 22,DN,UG,17.0, 0.324078,K4-M0/5,       ,Refs
V363 Aur    ,Lanning 10  ,05 33 33.5,+36 59 32,NL,UX,14.2, 0.321242,G5-9/5 ,       ,Refs
HQ Mon      ,            ,07 11 33.7,+00 52 05,NL,UX,12.8, 0.316000,       ,       ,Refs
V2275 Cyg   ,N Cyg 2001#2,21 03 02.0,+48 45 53,Na,IP,18.0, 0.314500,       ,       ,Refs
J0345+5335  ,            ,03 45 11.6,+53 35 15,CV,DN,17.8, 0.313900,K4-7/5 ,       ,Refs
V2069 Cyg   ,            ,21 23 44.8,+42 18 02,NL,IP,15.8, 0.311680,       ,       ,Refs
J1836-2354  ,M22-CV1     ,18 36 24.7,-23 54 36,DN,UG,19.0, 0.310000,       ,       ,Refs
V1174 Sgr   ,N Sgr 1952#2,18 01 37.0,-28 44 19,N ,  ,18.2, 0.309045,       ,       ,Refs
J1413-6520  ,            ,14 13 12.2,-65 20 14,NL,AM,24.3, 0.302000,       ,       ,Refs
RY Ser      ,            ,17 23 07.2,-12 48 09,DN,  ,16.4, 0.300900,K4-6/5 ,       ,Refs
AC Cnc      ,            ,08 44 27.2,+12 52 32,NL,UX,13.5, 0.300478,K1-3/5 ,       ,Refs
V2274 Cyg   ,N Cyg 2001#1,20 07 17.9,+36 04 37,Na,  ,20.0, 0.300000,       ,       ,Refs
J0457+4527  ,            ,04 57 08.3,+45 27 50,NL,IP,17.5, 0.300000,       ,       ,Refs
V838 Her    ,N Her 1991  ,18 46 31.5,+12 14 02,Na,  ,19.2, 0.297635,       ,       ,Refs
J2133+5107  ,            ,21 33 43.7,+51 07 25,NL,IP,14.9, 0.297431,       ,       ,Refs
0218+3229   ,            ,02 21 33.5,+32 43 24,DN,  ,16.2, 0.297230,K5/5   ,       ,Refs
V792 Cyg    ,            ,19 31 01.0,+33 47 04,DN,UG,17.2, 0.297200,K3-7/5 ,       ,Refs
J1729+2208  ,            ,17 29 51.6,+22 08 08,DN,  ,18.7, 0.297000,       ,       ,Refs
V959 Mon    ,N Mon 2012  ,06 39 38.6,+05 53 53,N ,  ,19.7, 0.295850,K3/5   ,       ,Refs
J1052-6141  ,            ,10 52 11.9,-61 41 14,DN,UG,20.8, 0.293191,       ,       ,Refs
EM Cyg      ,            ,19 38 40.1,+30 30 28,DN,ZC,13.5, 0.290909,K3/5   ,       ,Refs
Z Cam       ,            ,08 25 13.2,+73 06 39,DN,ZC,12.6, 0.289841,K7/5   ,       ,Refs
FH Lyn      ,            ,08 13 21.9,+45 28 10,DN,UG,18.3, 0.289000,K5-7/5 ,       ,Refs
J1619+1351  ,            ,16 19 09.1,+13 51 46,DN,UG,19.1, 0.286500,K2-6/5 ,       ,Refs
V1059 Sgr   ,N sgr 1898  ,19 01 50.4,-13 09 43,Na,  ,18.1, 0.286100,       ,       ,Refs
V426 Oph    ,            ,18 07 51.7,+05 51 49,DN,ZC,13.5, 0.285300,K5/5   ,       ,Refs
ST Cha      ,            ,10 47 15.6,-79 28 07,DN,ZC,12.4, 0.285000,       ,       ,Refs
V2540 Oph   ,N Oph 2002  ,17 37 34.4,-16 23 18,Nb,  ,21.0, 0.284781,       ,       ,Refs
BY Cir      ,N Cir 1995  ,14 44 53.6,-63 53 55,Nb,  ,17.6, 0.281600,       ,       ,Refs
V972 Oph    ,N Oph 1957  ,17 34 44.5,-28 10 36,Nb,  ,17.5, 0.281000,       ,       ,Refs
V4743 Sgr   ,N Sgr 2002#3,19 01 09.3,-22 00 06,Na,  ,16.8, 0.279900,       ,       ,Refs
2347-3144   ,            ,23 50 30.5,-31 27 34,NL,  ,15.2, 0.277000,       ,       ,Refs
J0902-1130  ,            ,09 02 10.2,-11 30 32,DN,  ,18.4, 0.275700,K6-8/5 ,       ,Refs
SS Cyg      ,            ,21 42 42.7,+43 35 10,DN,UG,11.2, 0.275130,K4-5/5 ,       ,Refs
V587 Lyr    ,            ,19 17 26.5,+37 10 41,DN,UG,17.6, 0.274000,K6-9/5 ,       ,Refs
V2615 Oph   ,N Oph 2007  ,17 42 44.0,-23 40 35,Na,  ,19.7, 0.272339,       ,       ,Refs
LY UMa      ,UMa 5       ,10 48 18.0,+52 18 30,DN,  ,15.1, 0.271278,K5-M0/5,       ,Refs
BF Eri      ,            ,04 39 29.9,-04 35 59,DN,UG,15.3, 0.270880,K2-4/5 ,       ,Refs
J1039-6255  ,            ,10 39 47.8,-62 55 29,DN,UG,19.0, 0.269960,       ,       ,Refs
J0644+3344  ,            ,06 44 34.4,+33 44 57,NL,SW,13.2, 0.269374,K8/5   ,       ,Refs
CM Phe      ,Phe 1       ,00 21 33.1,-51 42 34,NL,  ,15.3, 0.268900,M5/5   ,       ,Refs
TT Crt      ,            ,11 34 47.2,-11 45 30,DN,UG,15.9, 0.268420,K5-M0/5,       ,Refs
EI UMa      ,PG 0834+488 ,08 38 22.0,+48 38 02,NL,IP,13.1, 0.268100,       ,       ,Refs
U Leo       ,N Leo 1855  ,10 24 03.9,+14 00 26,N ,  ,17.3, 0.267400,       ,       ,Refs
HS Pup      ,N Pup 1963#2,07 53 24.9,-31 38 50,Na,  ,18.0, 0.267000,       ,       ,Refs
J1543+7515  ,            ,15 43 36.7,+75 15 41,CV,  ,14.8, 0.265359,       ,       ,Refs
TW Pic      ,H 0534-581  ,05 34 50.7,-58 01 41,NL,VY,14.1, 0.265000,       ,       ,Refs
BV Pup      ,            ,07 49 05.3,-23 34 01,DN,UG,15.6, 0.265000,K3/5   ,       ,Refs
TZ Per      ,            ,02 13 51.0,+58 22 53,DN,ZC,14.7, 0.262906,       ,       ,Refs
NGC 104-W2  ,            ,00 24 15.6,-72 04 36,CV,  ,21.5, 0.262000,       ,       ,Refs
FY Per      ,            ,04 41 56.6,+50 42 36,NL,VY,11.9, 0.258500,       ,       ,Refs
AH Her      ,PG 1642+253 ,16 44 10.0,+25 15 02,DN,ZC,13.9, 0.258116,K7/5   ,       ,Refs
V1425 Aql   ,N Aql 1995  ,19 05 26.7,-01 42 14,N ,NL,20.0, 0.255800,       ,       ,Refs
J1931+4559  ,            ,19 31 29.2,+45 59 06,NL,DN,12.2, 0.254400,       ,       ,Refs
J1224-4101  ,            ,12 24 43.3,-41 01 59,DN,UG,19.1, 0.253670,       ,       ,Refs
XY Ari      ,1H 0253+193 ,02 56 08.2,+19 26 34,NL,IP,13.1, 0.252697,M0/5   ,       ,Refs
J1544+2553  ,            ,15 44 53.6,+25 53 49,CV,  ,16.6, 0.251282,M1.5/5 ,       ,Refs
RU LMi      ,CBS 119     ,10 02 07.5,+33 51 00,DN,UG,17.8, 0.251000,       ,       ,Refs
LL Lyr      ,            ,18 35 12.9,+38 20 04,DN,UG,17.1, 0.249069,M1-4/5 ,       ,Refs
V1039 Cen   ,N Cen 2001  ,13 55 41.2,-64 15 57,Na,IP,20.8, 0.247000,       ,       ,Refs
PQ Aql      ,            ,19 53 06.6,+12 59 01,DN,UG,18.0, 0.246750,M1-3/5 ,       ,Refs
J1509-6649  ,            ,15 09 26.0,-66 49 23,NL,IP,14.5, 0.245400,       ,       ,Refs
RW Sex      ,BD -7 3007  ,10 19 56.6,-08 41 56,NL,UX, 9.9, 0.245070,K5/5   ,       ,Refs
M 5-V101    ,            ,15 18 14.5,+02 05 35,DN,UG,20.7, 0.242000,       ,       ,Refs
NGC 104-W1  ,            ,00 24 16.7,-72 04 27,CV,  ,20.1, 0.240500,       ,       ,Refs
AH Eri      ,            ,04 22 38.1,-13 21 30,DN,UG,17.7, 0.239100,M3-5/5 ,       ,Refs
V3037 Oph   ,            ,17 40 16.1,-29 03 38,NL,IP,19.1, 0.238400,       ,       ,Refs
TX Col      ,1H 0542-407 ,05 43 20.2,-41 01 55,NL,IP,14.5, 0.238300,M0-1/5 ,       ,Refs
J0518+2941  ,            ,05 18 14.3,+29 41 13,NL,  ,15.0, 0.238300,       ,       ,Refs
AG Hya      ,            ,09 50 29.8,-23 45 17,DN,UG,19.2, 0.238000,       ,       ,Refs
J0742-1049  ,            ,07 42 08.2,-10 49 32,  ,  ,16.5, 0.237800,K9-M1/5,       ,Refs
J1744-2603  ,            ,17 44 44.8,-26 03 30,DN,  ,17.0, 0.237089,K5/5   ,       ,Refs
NGC 6397-CV6,            ,17 40 49.0,-53 39 49,  ,  ,19.3, 0.235196,       ,       ,Refs
DO Leo      ,PG 1038+155 ,10 40 51.2,+15 11 34,NL,  ,16.5, 0.234515,       ,       ,Refs
V344 Ori    ,            ,06 15 19.0,+15 31 00,DN,UG,18.0, 0.234000,M2-4/5 ,       ,Refs
V667 Pup    ,            ,07 32 37.7,-13 31 08,NL,IP,15.7, 0.233800,       ,       ,Refs
VY Scl      ,PS 141      ,23 29 00.5,-29 46 46,NL,VY,12.1, 0.232300,       ,       ,Refs
V347 Pup    ,LB 1800     ,06 10 33.6,-48 44 26,NL,SW,13.4, 0.231936,M0.5/5 ,       ,Refs
RW Tri      ,            ,02 25 36.1,+28 05 51,NL,UX,12.5, 0.231883,M0/5   ,       ,Refs
WX Pyx      ,0830-2238   ,08 33 05.8,-22 48 33,NL,IP,16.7, 0.230700,       ,       ,Refs
J0805+0720  ,            ,08 05 34.5,+07 20 29,CV,  ,17.8, 0.229000,K2-6V  ,       ,Refs
J2256+5954  ,            ,22 56 08.4,+59 54 30,NL,UX,14.3, 0.228606,       ,       ,Refs
TV Col      ,2A 0526-328 ,05 29 25.4,-32 49 05,NL,IP,13.5, 0.228600,K1-5/5 ,       ,Refs
V705 Cas    ,N Cas 1993  ,23 41 47.3,+57 31 00,Na,  ,17.0, 0.228000,       ,       ,Refs
V365 Car    ,N Car 1948  ,11 03 15.9,-58 27 26,Nb,  ,18.1, 0.225000,       ,       ,Refs
J1753-2917  ,            ,17 53 18.7,-29 17 17,DN,SH,19.0, 0.224980,       ,       ,Refs
J1830-1232  ,            ,18 30 49.9,-12 32 19,NL,IP,17.9, 0.223900,       ,       ,Refs
EZ Del      ,            ,20 25 22.9,+15 45 58,DN,UG,14.5, 0.223400,M1-2/5 ,       ,Refs
V709 Cas    ,J0028+5917  ,00 28 48.9,+59 17 22,NL,IP,14.1, 0.222204,       ,       ,Refs
DM Cap      ,            ,21 54 11.1,-09 01 22,CV,  ,19.2, 0.221500,       ,       ,Refs
CN Vel      ,N Vel 1905  ,11 02 38.7,-54 23 10,Na,  ,17.8, 0.220000,       ,       ,Refs
NGC 104-W120,            ,00 24 10.8,-72 06 20,CV,  ,22.7, 0.220000,       ,       ,Refs
NR TrA      ,N TrA 2008  ,16 18 48.2,-60 27 49,N ,  ,19.0, 0.219000,       ,       ,Refs
N LMC 1995  ,            ,05 26 50.3,-70 01 24,N ,EG,19.6, 0.219000,       ,       ,Refs
CZ Ori      ,            ,06 16 43.2,+15 24 12,DN,UG,16.3, 0.218900,M1-3/5 ,       ,Refs
FO Aql      ,            ,19 16 38.2,+00 07 37,DN,UG,18.0, 0.217735,M1-4/5 ,       ,Refs
AY Psc      ,PG 0134+070 ,01 36 55.4,+07 16 30,DN,ZC,15.3, 0.217321,       ,       ,Refs
V513 Cas    ,            ,00 18 14.9,+66 18 14,DN,ZC,18.0, 0.217000,       ,       ,Refs
HL CMa      ,            ,06 45 17.2,-16 51 35,DN,ZC,13.2, 0.216787,       ,       ,Refs
PQ Gem      ,            ,07 51 17.4,+14 44 25,NL,IP,14.0, 0.216359,       ,       ,Refs
AR Cnc      ,            ,09 22 07.5,+31 03 15,DN,UG,18.7, 0.214600,M4-6/5 ,       ,Refs
V5588 Sgr   ,N Sgr 2011#2,18 10 21.4,-23 05 30,Na,  ,17.7, 0.214320,       ,       ,Refs
HR Del      ,N Del 1967  ,20 42 20.4,+19 09 40,Nb,  ,11.9, 0.214165,       ,       ,Refs
AR Cir      ,N Cir 1906  ,14 48 09.2,-60 00 25,Nb,  ,17.6, 0.214000,       ,       ,Refs
PW Vul      ,N Vul 1984#1,19 26 05.1,+27 21 59,Na,  ,17.5, 0.213700,       ,       ,Refs
AP Cru      ,N Cru 1935  ,12 31 20.6,-64 26 25,N ,IP,17.7, 0.213000,K7     ,       ,Refs
HZ Pup      ,N Pup 1963#1,08 03 22.8,-28 28 29,Na,NL,17.2, 0.213000,       ,       ,Refs
NGC 6752-CV1,J1910-5958#1,19 10 52.1,-59 58 01,GC,  ,17.0, 0.213000,       ,       ,Refs
J1759-2624  ,            ,17 59 11.7,-26 24 40,DN,  ,18.6, 0.211945,       ,       ,Refs
EX Dra      ,1804+6753   ,18 04 14.1,+67 54 12,DN,UG,15.3, 0.209937,M1-3/5 ,       ,Refs
RX And      ,            ,01 04 35.6,+41 17 58,DN,ZC,14.0, 0.209893,K5/5   ,       ,Refs
J0816+4530  ,            ,08 16 10.8,+45 30 10,DN,  ,19.2, 0.209600,       ,       ,Refs
J0900+4301  ,            ,09 00 16.6,+43 01 18,DN,  ,18.9, 0.209370,       ,       ,Refs
J1616-4958  ,            ,16 16 37.8,-49 58 45,NL,IP,16.3, 0.208500,       ,       ,Refs
2205+0201   ,            ,22 08 07.5,+02 16 20,  ,  ,16.4, 0.208000,       ,       ,Refs
V4745 Sgr   ,N Sgr 2003#1,18 40 02.6,-33 26 56,Nb,IP,17.0, 0.207820,       ,       ,Refs
TW Tri      ,            ,01 36 37.0,+32 00 40,DN,UG,17.0, 0.207584,M1/5   ,       ,Refs
V617 Sgr    ,            ,18 07 50.9,-35 10 25,NL,SS,13.6, 0.207166,WN3-5  ,       ,Refs
